player_name,player_number,player_team,game_date,game_time,game_opponent,game_location,game_type,stat_hits,stat_rbis,stat_at_bats,stat_singles,stat_doubles,stat_triples,stat_homeruns,stat_sacrifice,stat_strikeouts
JACOB FRANCO,48,ATL,10/24/2023,1700,NYG,away,postseason,1,1,1,1,0,0,0,0,0
BOB MALONE,24,PIT,9/28/2023,1500,BKN,home,regular,1,1,4,1,0,0,0,0,3
BILLY HUTCHINSON,36,PHI,8/9/2023,1600,PHP,home,regular,2,1,4,1,0,0,1,0,2
GARY PATTON,93,COL,6/22/2023,1500,ATL,home,regular,1,1,2,1,0,0,0,0,1
BILLY WILLIAMSON,9,NYH,4/15/2023,1500,OAK,home,regular,1,1,4,1,0,0,0,0,3
JACKSON KELLER,91,OAK,4/24/2023,1200,LAA,home,regular,1,1,3,1,0,0,0,0,2
WILLIAM COMBS,27,NY,8/8/2023,1300,OAK,away,regular,1,1,4,1,0,0,0,0,3
TJ FARRELL,32,NYY,7/18/2023,1600,BAL,away,regular,2,2,5,1,0,0,1,0,3
TAYLOR ANDRADE,93,CHO,7/7/2023,1600,PHI,away,regular,1,1,2,1,0,0,0,0,1
GARY FLORES,98,WSH,10/10/2023,1400,CAL,home,postseason,0,0,2,0,0,0,0,1,1
JAKE DUNLAP,36,AZ,4/1/2023,1800,PIT,home,regular,2,2,5,2,0,0,0,0,3
RODRIGO FRENCH,29,TOR,4/10/2023,1800,LAA,home,regular,3,3,4,1,1,1,0,0,1
TJ GILMORE,78,SD,10/9/2023,1200,BOU,home,postseason,1,1,4,0,1,0,0,1,2
ADAM SNYDER,12,CWS,9/22/2023,1700,LAD,home,regular,0,0,3,0,0,0,0,0,3
GARY LEVY,32,WSH,9/6/2023,1200,KC,away,regular,3,3,3,2,0,0,1,0,0
GARY RITTER,47,KC,7/28/2023,1300,CLE,away,regular,3,3,5,1,2,0,0,0,2
WILLIAM SWANSON,40,NYY,6/30/2023,1600,SD,away,regular,2,1,2,2,0,0,0,0,0
MARTIN CLINE,34,BOS,10/31/2023,1600,CHI,away,postseason,2,2,4,2,0,0,0,0,2
JACOB CLEMENTS,45,KC,4/1/2023,1700,TOR,away,regular,1,1,2,1,0,0,0,0,1
TJ BARR,27,CAL,10/25/2023,2000,CIN,home,postseason,2,2,4,1,0,0,1,1,1
EVAN NOBLE,39,CLE,6/9/2023,1700,SD,home,regular,1,1,1,1,0,0,0,0,0
BOB ROMERO,18,NY,7/8/2023,2000,MIA,away,regular,3,1,4,1,1,0,1,0,1
WILL HERRERA,22,TB,10/14/2023,1400,BOU,away,postseason,1,1,3,1,0,0,0,0,2
JAMES MCFARLAND,98,BOU,4/4/2023,1300,CAL,home,regular,1,1,4,1,0,0,0,0,3
JAMES HORN,21,STL,5/5/2023,1400,COL,home,regular,1,1,2,1,0,0,0,1,0
WALKER LEWIS,47,BOU,9/28/2023,1400,BAL,away,regular,2,1,2,2,0,0,0,0,0
LARRY PROCTOR,90,BOS,10/4/2023,1500,MTL,home,postseason,2,2,4,1,0,0,1,1,1
WILLIAM MOSES,92,COL,4/13/2023,1700,STL,home,regular,1,1,2,1,0,0,0,0,1
MARTIN GUZMAN,17,STL,7/9/2023,1900,FLA,home,regular,2,1,6,1,1,0,0,1,3
GARY KENT,6,HOU,10/2/2023,2000,FLA,home,postseason,4,1,5,1,0,0,3,1,0
THOMAS NOBLE,32,CIN,8/21/2023,1800,SLB,away,regular,3,2,6,1,0,1,1,1,2
WILL LEWIS,47,AZ,7/25/2023,1600,CHC,away,regular,0,0,1,0,0,0,0,0,1
BOB STANTON,80,PHB,7/27/2023,1800,ANA,home,regular,1,1,3,1,0,0,0,1,1
BILL HARRINGTON,65,FLA,4/19/2023,1400,PHB,away,regular,1,1,4,1,0,0,0,1,2
BOB FRANK,72,CHO,8/31/2023,1300,NY,home,regular,1,1,4,1,0,0,0,0,3
GARY MORRIS,75,SLC,9/8/2023,1300,STL,home,regular,1,1,3,1,0,0,0,0,2
WILL WILLIAMS,41,CWS,4/16/2023,1300,KC,home,regular,1,1,1,1,0,0,0,0,0
MARTIN CUMMINGS,33,MIA,6/3/2023,1200,BOA,home,regular,2,2,4,1,1,0,0,0,2
WILL DENNIS,76,ATL,7/1/2023,1900,PHP,away,regular,0,0,0,0,0,0,0,0,0
WALKER BRADFORD,16,MIN,6/22/2023,1400,ATL,away,regular,1,1,2,1,0,0,0,0,1
JAMES MILLS,86,CHI,6/25/2023,1500,TOR,away,regular,3,3,3,1,0,0,2,0,0
JAKE ANDRADE,0,NY,3/31/2023,1300,PHB,home,regular,1,1,3,1,0,0,0,0,2
JACKSON KLINE,58,NYH,8/19/2023,1700,NYH,home,regular,3,1,4,1,1,1,0,1,0
JOHNNY TRAN,94,TOR,8/29/2023,1600,COL,away,regular,1,1,3,1,0,0,0,0,2
WILLIAM HINTON,79,NY,6/3/2023,1700,NYG,home,regular,2,2,6,1,1,0,0,1,3
TJ KNAPP,38,NYM,6/21/2023,1600,LA,home,regular,2,2,5,1,0,0,1,0,3
JAMES GONZALEZ,92,PHI,6/12/2023,1400,BOA,away,regular,5,4,8,2,0,0,3,0,3
BILL SELLERS,50,TEX,5/2/2023,1900,NYG,home,regular,1,1,2,1,0,0,0,1,0
RODRIGO HATFIELD,77,DET,9/30/2023,1700,OAK,home,regular,2,2,5,0,0,0,2,0,3
WILLIAM MORGAN,25,WSH,7/20/2023,1200,LAA,home,regular,2,1,3,2,0,0,0,0,1
WILLIAM MANNING,25,BOR,4/13/2023,1700,HOU,home,regular,1,1,3,1,0,0,0,1,1
BOB MCCARTY,96,PHA,9/6/2023,1700,MIL,away,regular,1,1,2,1,0,0,0,1,0
BARRY SPARKS,28,TEX,6/14/2023,1800,AZ,home,regular,1,1,1,1,0,0,0,0,0
BILLY HOLMES,69,NYY,4/25/2023,1800,PHB,away,regular,1,1,3,1,0,0,0,1,1
BILLY CAREY,24,NYG,9/19/2023,1800,CAL,home,regular,2,2,4,1,1,0,0,0,2
GARY BRYANT,46,ATL,6/24/2023,1600,AZ,home,regular,2,2,2,2,0,0,0,0,0
JACKSON PITTMAN,73,MTL,8/22/2023,1600,BOD,away,regular,1,1,2,1,0,0,0,0,1
JOHNNY HARRINGTON,33,NYG,10/22/2023,1300,SF,home,postseason,1,1,3,1,0,0,0,0,2
THOMAS GIBSON,38,LA,7/5/2023,1700,SLC,home,regular,2,2,4,1,0,0,1,0,2
JOHNNY CHAMBERS,26,CLE,4/26/2023,1500,TOR,away,regular,1,1,5,1,0,0,0,1,3
THOMAS RANDOLPH,89,FLA,6/22/2023,1900,SLC,away,regular,1,1,2,1,0,0,0,1,0
EVAN COLON,3,BAL,8/5/2023,1500,NYY,home,regular,2,1,2,1,1,0,0,0,0
JAKE LANDRY,60,NYY,9/3/2023,1600,SEA,away,regular,0,0,2,0,0,0,0,0,2
BOB NEAL,81,ATL,9/8/2023,2000,OAK,home,regular,2,1,3,2,0,0,0,0,1
THOMAS BRANDT,10,CHI,4/3/2023,1900,KC,home,regular,0,0,3,0,0,0,0,0,3
MARTIN GILLESPIE,24,CHC,9/22/2023,1700,OAK,home,regular,2,1,3,1,1,0,0,0,1
JOHNNY LEON,90,LA,4/12/2023,1200,PIT,home,regular,1,1,2,1,0,0,0,0,1
LARRY PETERSON,73,AZ,9/27/2023,1700,BOU,home,regular,1,1,1,1,0,0,0,0,0
JACKSON SHORT,7,PHB,4/4/2023,1900,OAK,home,regular,1,1,2,1,0,0,0,0,1
WALKER HOLDEN,15,MIL,10/8/2023,1300,LAD,home,postseason,1,1,4,1,0,0,0,0,3
TAYLOR CALDWELL,32,NY,7/12/2023,2000,LAA,home,regular,1,1,1,1,0,0,0,0,0
BILL WELCH,56,HOU,4/21/2023,1700,ANA,away,regular,1,1,1,1,0,0,0,0,0
EVAN KEITH,89,CHI,4/29/2023,1500,AZ,home,regular,0,0,2,0,0,0,0,0,2
BILL GRIFFIN,43,NYY,7/19/2023,1700,SLB,home,regular,3,2,6,2,0,1,0,0,3
TJ ELLIS,41,BOS,5/16/2023,1800,STL,away,regular,4,1,4,1,0,0,3,0,0
GARY STRONG,18,ATL,9/2/2023,1500,PIT,home,regular,2,1,4,2,0,0,0,0,2
JAMES FERRELL,77,WSH,5/3/2023,2000,TEX,away,regular,2,1,3,2,0,0,0,1,0
TJ CLINE,35,MIL,4/26/2023,1400,BOD,home,regular,1,1,1,1,0,0,0,0,0
JACKSON WATTS,53,PHP,9/2/2023,1400,FLA,home,regular,2,1,3,1,0,0,1,0,1
JAKE MILLER,73,SLC,10/2/2023,1900,SLB,home,postseason,1,1,2,1,0,0,0,1,0
TAYLOR LYNN,41,CHO,10/10/2023,2000,NY,home,postseason,2,1,5,1,1,0,0,0,3
BOB MORENO,85,ATL,4/5/2023,1400,NYH,home,regular,1,1,5,1,0,0,0,1,3
THOMAS PHELPS,14,CHC,9/30/2023,1300,NYY,away,regular,0,0,2,0,0,0,0,0,2
THOMAS HAMPTON,93,LAA,7/1/2023,1700,BOD,away,regular,1,1,3,1,0,0,0,1,1
BOB SPARKS,33,BOA,5/22/2023,1500,SEA,away,regular,1,1,4,1,0,0,0,1,2
TJ FRENCH,13,STL,9/2/2023,1200,ATL,home,regular,1,1,5,1,0,0,0,1,3
JAKE BLEVINS,55,CHO,9/23/2023,1200,COL,home,regular,2,2,4,0,2,0,0,0,2
WALKER BARKER,71,PHB,7/21/2023,1900,TEX,away,regular,0,0,3,0,0,0,0,0,3
TAYLOR GARRETT,51,COL,5/23/2023,1600,CAL,away,regular,2,1,4,1,0,0,1,0,2
ADAM ROCHA,19,SEA,8/13/2023,1400,MTL,away,regular,1,1,4,1,0,0,0,0,3
WALKER HENDRIX,54,BOS,10/14/2023,1300,SD,away,postseason,1,1,1,1,0,0,0,0,0
WILLIAM LYONS,23,KC,8/6/2023,2000,LAA,away,regular,1,1,1,1,0,0,0,0,0
GARY WEISS,65,OAK,4/6/2023,1500,MIL,home,regular,3,1,5,1,0,0,2,1,1
THOMAS BUTLER,72,SLC,6/7/2023,1300,ATL,home,regular,1,1,4,1,0,0,0,0,3
TAYLOR LUCERO,41,NYY,7/12/2023,1800,STL,home,regular,1,1,2,1,0,0,0,0,1
BILL MONTES,23,BAL,9/22/2023,1600,ATL,away,regular,2,2,2,2,0,0,0,0,0
LARRY GARZA,89,FLA,10/10/2023,1900,MIN,home,postseason,1,1,5,1,0,0,0,1,3
WILL HOLLOWAY,2,OAK,6/18/2023,1300,MIL,away,regular,1,1,4,1,0,0,0,0,3
MARTIN MORRISON,51,COL,7/27/2023,1900,SLB,away,regular,1,1,4,1,0,0,0,0,3
TAYLOR MCLEAN,33,BOS,9/15/2023,1400,CIN,home,regular,1,1,3,1,0,0,0,1,1
WALKER ALVAREZ,44,CAL,6/16/2023,1300,BKN,away,regular,2,2,3,1,1,0,0,0,1
WILL DAY,11,CHI,10/11/2023,1700,LAA,away,postseason,2,2,3,0,1,0,1,0,1
BARRY HOLLOWAY,72,NYM,9/2/2023,1700,CAL,home,regular,3,1,4,2,0,0,1,1,0
JACKSON HERNANDEZ,45,BOS,6/14/2023,1800,BKN,away,regular,1,1,5,1,0,0,0,1,3
WILLIAM VILLANUEVA,53,TB,10/20/2023,1800,BKN,home,postseason,1,1,5,1,0,0,0,1,3
WILLIAM ESPINOZA,94,AZ,10/2/2023,1300,STL,away,postseason,1,1,2,1,0,0,0,0,1
JACKSON MCINTYRE,81,BSN,5/7/2023,1300,FLA,away,regular,1,1,1,1,0,0,0,0,0
JAMES TYLER,16,CHI,10/25/2023,1300,BSN,home,postseason,2,1,3,1,1,0,0,0,1
MARTIN KNAPP,48,KC,9/8/2023,1300,KC,away,regular,2,1,4,1,1,0,0,0,2
WILL MORGAN,8,MIA,4/24/2023,1400,MIA,home,regular,3,3,4,1,1,1,0,0,1
JACOB KIM,43,HOU,7/11/2023,1600,TOR,away,regular,2,2,3,1,0,1,0,1,0
THOMAS PRICE,86,CLE,7/23/2023,1600,NYM,away,regular,1,1,2,1,0,0,0,0,1
WILLIAM NUNEZ,5,COL,4/25/2023,1400,HOU,away,regular,3,2,6,1,0,0,2,0,3
MARTIN COHEN,91,CIN,8/3/2023,1700,MIA,home,regular,1,1,2,1,0,0,0,0,1
THOMAS RYAN,22,CWS,10/17/2023,1500,MIA,home,postseason,2,2,4,2,0,0,0,0,2
ADAM KNOX,3,PIT,8/29/2023,1500,CAL,home,regular,1,1,1,1,0,0,0,0,0
BILL COPELAND,7,NY,8/23/2023,2000,AZ,away,regular,2,1,4,1,1,0,0,1,1
JACOB MENDEZ,20,STL,9/8/2023,2000,KC,away,regular,1,1,4,0,1,0,0,0,3
JACKSON MATHIS,40,BOR,5/25/2023,1600,BOS,away,regular,1,1,5,0,0,1,0,1,3
BOB SINGLETON,94,CHI,10/31/2023,1400,CLE,away,postseason,2,1,5,2,0,0,0,1,2
WILL HERMAN,66,BOS,10/13/2023,1700,PHA,away,postseason,3,3,5,1,2,0,0,0,2
TJ ROBERSON,21,NYH,9/12/2023,1600,LAD,away,regular,1,1,3,1,0,0,0,0,2
WALKER WISE,34,PHB,4/26/2023,1700,DET,away,regular,2,2,5,1,0,0,1,1,2
JACOB LONG,85,TOR,5/14/2023,1900,NYG,home,regular,1,1,1,1,0,0,0,0,0
WILL HARVEY,27,BOA,9/25/2023,1800,LA,away,regular,2,1,3,1,1,0,0,0,1
WILL BARTON,77,CHO,10/29/2023,1500,PHA,away,postseason,1,1,2,1,0,0,0,0,1
TJ MURRAY,60,CHI,9/25/2023,1700,PIT,home,regular,0,0,0,0,0,0,0,0,0
JACKSON BLEVINS,65,NYH,4/4/2023,1900,SEA,away,regular,2,1,3,2,0,0,0,0,1
WILL SANTOS,5,SEA,9/25/2023,2000,BKN,home,regular,2,2,4,1,0,0,1,0,2
TAYLOR ANDERSON,98,LA,7/18/2023,1200,SD,home,regular,3,1,3,2,1,0,0,0,0
GARY CAIN,37,NYY,7/24/2023,1700,CAL,home,regular,2,1,4,2,0,0,0,1,1
JAMES QUINN,81,LAD,10/31/2023,1900,BOA,away,postseason,1,1,1,1,0,0,0,0,0
JACKSON WELLS,42,CLE,9/12/2023,1500,BKN,home,regular,4,4,8,1,1,0,2,1,3
BILL ABBOTT,38,MTL,9/20/2023,1500,PHA,away,regular,1,1,3,1,0,0,0,1,1
WALKER SCHMIDT,35,NYH,9/16/2023,1300,LAD,away,regular,2,2,5,2,0,0,0,1,2
BILLY WONG,48,CAL,7/30/2023,1800,PHI,away,regular,0,0,2,0,0,0,0,0,2
JACKSON WILCOX,21,CHC,6/24/2023,1200,NYM,away,regular,1,1,2,0,0,1,0,0,1
EVAN SHORT,10,NY,9/13/2023,1600,TB,away,regular,2,2,5,2,0,0,0,0,3
JAKE SAMPSON,1,CHO,10/4/2023,1300,CHO,away,postseason,2,2,5,1,1,0,0,0,3
MARTIN HANSON,38,SLC,10/1/2023,1800,TEX,away,regular,4,4,7,1,1,0,2,1,2
BOB WERNER,27,KC,9/7/2023,1500,FLA,away,regular,1,1,5,1,0,0,0,1,3
WALKER WHITE,25,SF,8/2/2023,1800,PHB,home,regular,0,0,1,0,0,0,0,0,1
THOMAS BALDWIN,20,BOD,6/19/2023,1300,PIT,home,regular,3,1,6,1,0,0,2,0,3
BARRY MCDANIEL,34,CWS,10/20/2023,1900,BSN,away,postseason,3,3,4,2,1,0,0,0,1
ADAM LUNA,17,SLC,9/15/2023,1600,MIN,home,regular,6,4,7,1,2,0,3,1,0
TJ HARVEY,91,NYH,6/18/2023,1600,NY,away,regular,0,0,0,0,0,0,0,0,0
RODRIGO LYNN,35,SD,8/10/2023,1700,NYG,home,regular,0,0,3,0,0,0,0,0,3
MARTIN PECK,16,LA,5/14/2023,1800,ATL,away,regular,1,1,2,0,1,0,0,0,1
JAKE MCCULLOUGH,53,PHA,8/17/2023,1700,MTL,home,regular,2,1,4,1,1,0,0,0,2
WALKER BENITEZ,83,SLB,10/19/2023,2000,PHA,home,postseason,2,2,5,2,0,0,0,0,3
BILL BARRERA,4,MIA,4/25/2023,1800,CHC,away,regular,2,2,4,2,0,0,0,0,2
ADAM JONES,69,ATL,5/23/2023,1500,MIA,home,regular,1,1,5,1,0,0,0,1,3
JOHNNY PEREZ,18,NY,4/22/2023,1300,STL,home,regular,1,1,5,1,0,0,0,1,3
EVAN CUNNINGHAM,1,BOA,4/9/2023,1300,PHB,home,regular,2,1,6,1,1,0,0,1,3
JOHNNY TRAVIS,60,BOS,4/19/2023,1700,CAL,home,regular,1,1,2,1,0,0,0,0,1
WALKER ZAVALA,99,BOS,5/15/2023,1600,PHP,away,regular,3,3,4,1,2,0,0,0,1
BARRY MORTON,65,CHO,5/30/2023,1800,MIL,home,regular,2,1,3,2,0,0,0,0,1
BARRY SUAREZ,13,LAD,6/6/2023,1400,BOD,away,regular,1,1,4,1,0,0,0,0,3
WALKER ANDRADE,67,CIN,10/27/2023,1300,LA,away,postseason,3,1,5,1,1,1,0,0,2
JOHNNY ARNOLD,62,HOU,10/25/2023,1700,CAL,away,postseason,1,1,4,1,0,0,0,0,3
TAYLOR MARQUEZ,69,NYY,9/21/2023,1300,WSH,home,regular,2,1,6,2,0,0,0,1,3
THOMAS ALVAREZ,13,SF,6/9/2023,1600,OAK,home,regular,1,1,2,1,0,0,0,1,0
JACKSON CALHOUN,78,AZ,7/15/2023,1500,STL,away,regular,2,1,3,1,1,0,0,0,1
TAYLOR HERRING,23,SLC,4/30/2023,1400,WSH,away,regular,3,3,3,1,2,0,0,0,0
MARTIN RICHARDS,38,BOS,7/3/2023,1400,NY,away,regular,2,2,2,1,0,1,0,0,0
JAKE CLEMENTS,82,AZ,8/30/2023,1500,WSH,away,regular,2,1,4,1,0,0,1,1,1
JACKSON MCGEE,3,WSH,4/29/2023,1400,MTL,away,regular,4,4,7,1,1,0,2,0,3
ADAM SANTOS,83,KC,8/12/2023,1600,CLE,away,regular,3,2,5,1,1,1,0,0,2
WILL AYALA,23,BOD,8/21/2023,1200,STL,away,regular,1,1,4,1,0,0,0,0,3
RODRIGO KNOX,97,BOR,9/15/2023,1200,TEX,away,regular,1,1,4,1,0,0,0,0,3
BARRY MELTON,79,MIN,5/19/2023,1300,NYG,away,regular,1,1,5,1,0,0,0,1,3
TAYLOR CARNEY,25,BOA,10/11/2023,1400,CHC,away,postseason,1,1,4,1,0,0,0,0,3
THOMAS ROGERS,10,CHO,8/3/2023,1800,LAA,away,regular,2,2,4,2,0,0,0,1,1
WILL RICHMOND,7,PHP,8/28/2023,1200,CAL,away,regular,1,1,5,1,0,0,0,1,3
JOHNNY CLARK,54,WSH,8/14/2023,1500,BOA,home,regular,1,1,2,1,0,0,0,0,1
BILL AYERS,69,CHC,5/1/2023,2000,MIA,away,regular,3,1,5,1,2,0,0,0,2
JACOB WEAVER,3,PHP,5/27/2023,1600,NY,home,regular,1,1,4,1,0,0,0,1,2
JOHNNY DOUGHERTY,20,SLC,8/30/2023,1300,DET,home,regular,1,1,5,1,0,0,0,1,3
JAKE WHITAKER,63,BOR,9/14/2023,1500,CHI,home,regular,1,1,2,1,0,0,0,1,0
ADAM LE,39,WSH,8/23/2023,1800,OAK,home,regular,2,1,3,2,0,0,0,0,1
JAMES HIGGINS,18,PHI,10/20/2023,1200,PHP,away,postseason,0,0,3,0,0,0,0,1,2
BILL MUNOZ,69,FLA,8/18/2023,1700,SF,home,regular,1,1,4,0,0,0,1,0,3
RODRIGO COOKE,57,BOS,7/7/2023,1700,BOU,away,regular,1,1,5,1,0,0,0,1,3
EVAN MCLAUGHLIN,80,CLE,6/19/2023,1700,NY,away,regular,0,0,2,0,0,0,0,0,2
EVAN AGUILAR,95,NYG,5/1/2023,1400,TEX,away,regular,1,1,4,1,0,0,0,0,3
GARY MUNOZ,30,BSN,7/26/2023,1800,BOS,home,regular,1,1,3,1,0,0,0,0,2
JOHNNY NAVARRO,49,CAL,10/7/2023,1500,MIA,home,postseason,0,0,2,0,0,0,0,0,2
JACKSON LYONS,7,LAA,4/14/2023,1700,CHO,away,regular,4,2,7,1,0,1,2,0,3
LARRY POLLARD,85,ATL,7/1/2023,1400,LAD,away,regular,1,1,2,1,0,0,0,1,0
JAKE ROY,1,BSN,8/25/2023,2000,CWS,home,regular,1,1,5,1,0,0,0,1,3
WILL CLARKE,81,AZ,9/17/2023,1800,CHI,home,regular,1,1,3,1,0,0,0,0,2
JOHNNY MEYERS,80,KC,4/7/2023,1400,FLA,away,regular,1,1,3,1,0,0,0,0,2
ADAM HUERTA,25,BOA,9/12/2023,1300,CAL,away,regular,1,1,3,1,0,0,0,0,2
WILL HARMON,76,BAL,7/12/2023,2000,TEX,away,regular,2,2,4,1,1,0,0,0,2
BILLY FULLER,0,BOA,10/22/2023,1700,PHI,home,postseason,1,1,2,1,0,0,0,1,0
JAMES RIVAS,76,PHA,6/14/2023,1200,SEA,home,regular,2,2,3,1,0,0,1,1,0
TAYLOR SMALL,26,CIN,8/24/2023,1700,LAD,home,regular,1,1,4,1,0,0,0,0,3
MARTIN BROCK,52,NYY,10/3/2023,1800,TEX,home,postseason,0,0,3,0,0,0,0,0,3
GARY RUBIO,97,CIN,7/29/2023,1500,SD,away,regular,1,1,2,1,0,0,0,0,1
GARY TAPIA,29,LA,10/7/2023,1400,CIN,home,postseason,3,1,5,1,0,0,2,0,2
JACKSON MERCER,92,CLE,5/1/2023,1600,BOS,home,regular,1,1,3,0,0,1,0,0,2
JACKSON SLOAN,90,CHO,4/1/2023,1700,FLA,home,regular,1,1,3,1,0,0,0,0,2
BILLY OLSEN,10,TEX,9/9/2023,1300,PIT,home,regular,1,1,4,1,0,0,0,0,3
GARY FLOWERS,95,TOR,7/16/2023,1900,MIN,away,regular,1,1,4,1,0,0,0,1,2
MARTIN PONCE,70,PIT,4/25/2023,1600,WSH,home,regular,1,1,2,1,0,0,0,1,0
EVAN AUSTIN,31,MIA,8/14/2023,1500,NYG,away,regular,2,2,5,2,0,0,0,1,2
TAYLOR DELGADO,39,HOU,7/4/2023,1500,MTL,away,regular,3,1,4,1,1,0,1,0,1
WILLIAM WEAVER,15,TEX,10/28/2023,2000,NY,away,postseason,1,1,1,1,0,0,0,0,0
EVAN MORENO,84,LA,9/8/2023,1900,CIN,home,regular,1,1,3,1,0,0,0,0,2
BARRY RIVERS,37,CLE,7/3/2023,1800,CHI,home,regular,2,1,2,2,0,0,0,0,0
ADAM HICKMAN,96,SD,10/10/2023,1700,NY,home,postseason,1,1,1,1,0,0,0,0,0
RODRIGO OLSEN,35,BOD,5/24/2023,1200,SF,home,regular,1,1,4,1,0,0,0,0,3
BOB STARK,27,TEX,9/26/2023,1600,SEA,away,regular,1,1,4,1,0,0,0,0,3
GARY WILKINSON,77,CWS,7/12/2023,1400,TEX,home,regular,1,1,3,1,0,0,0,0,2
BOB WALTERS,17,WSH,10/25/2023,1200,PHI,home,postseason,1,1,3,1,0,0,0,0,2
LARRY KING,59,MIA,6/2/2023,1800,NYG,home,regular,1,1,1,1,0,0,0,0,0
GARY SHAH,8,NYY,10/24/2023,1700,BOA,home,postseason,0,0,1,0,0,0,0,0,1
MARTIN HARMON,86,TEX,8/24/2023,1600,BSN,away,regular,3,2,5,2,1,0,0,0,2
BILLY FLOYD,15,HOU,9/10/2023,2000,CHO,away,regular,1,1,3,1,0,0,0,0,2
JAMES COLLIER,5,OAK,6/16/2023,1600,BKN,away,regular,0,0,3,0,0,0,0,1,2
THOMAS MOODY,39,DET,8/16/2023,1600,PHI,away,regular,0,0,0,0,0,0,0,0,0
LARRY MCMAHON,12,FLA,6/17/2023,1300,ATL,home,regular,1,1,2,1,0,0,0,1,0
WALKER HORTON,3,ATL,7/9/2023,1400,ANA,home,regular,1,1,1,1,0,0,0,0,0
BOB HOLDEN,74,KC,4/5/2023,1500,BOU,away,regular,2,1,4,1,1,0,0,1,1
JAMES GRAY,85,NY,6/13/2023,1200,BAL,away,regular,1,1,5,1,0,0,0,1,3
WALKER DILLON,92,WSH,8/14/2023,1200,BOR,home,regular,2,2,4,1,0,1,0,0,2
LARRY TYLER,4,TB,8/26/2023,1900,LAD,home,regular,1,1,3,1,0,0,0,1,1
WILLIAM SILVA,19,SF,8/26/2023,1800,TOR,home,regular,1,1,5,1,0,0,0,1,3
WILLIAM KENT,96,BAL,8/29/2023,2000,PHI,home,regular,1,1,5,1,0,0,0,1,3
THOMAS SUTTON,63,ATL,6/29/2023,2000,BOA,away,regular,1,1,4,1,0,0,0,0,3
RODRIGO STUART,11,OAK,10/5/2023,1500,PHI,away,postseason,2,2,5,2,0,0,0,0,3
JAKE NICHOLS,57,PHP,6/29/2023,1300,PHB,away,regular,1,1,4,1,0,0,0,0,3
WILLIAM CRAWFORD,2,HOU,6/5/2023,1200,STL,home,regular,2,2,5,1,0,1,0,0,3
JAKE BRAY,68,NY,5/4/2023,1200,SLC,home,regular,1,1,2,1,0,0,0,1,0
JACOB NEWTON,80,PHA,9/12/2023,1900,MIA,away,regular,3,3,4,1,0,0,2,0,1
TJ ANTHONY,52,SLC,10/19/2023,1300,LA,away,postseason,2,2,3,2,0,0,0,0,1
JACKSON HUMPHREY,2,OAK,7/12/2023,1200,STL,away,regular,1,1,4,1,0,0,0,0,3
GARY WILKERSON,73,BOU,9/27/2023,1600,NYG,away,regular,2,2,4,1,0,0,1,1,1
MARTIN ARROYO,23,CHO,9/3/2023,2000,MTL,away,regular,1,1,1,1,0,0,0,0,0
TAYLOR HIGGINS,57,NYY,10/24/2023,1200,LA,away,postseason,2,1,5,2,0,0,0,1,2
BARRY BARTON,29,MIL,4/19/2023,2000,BSN,home,regular,1,1,4,1,0,0,0,0,3
LARRY VILLEGAS,90,PHB,7/12/2023,1900,SLB,home,regular,1,1,1,1,0,0,0,0,0
GARY WALLS,90,BSN,6/23/2023,1500,TB,home,regular,1,1,3,1,0,0,0,1,1
WILLIAM DRAKE,95,SD,4/24/2023,1700,TOR,away,regular,1,1,4,1,0,0,0,0,3
WILLIAM STEVENS,27,SLC,4/1/2023,1800,SD,home,regular,4,1,7,1,2,0,1,0,3
MARTIN PIERCE,37,NYH,4/21/2023,1500,BKN,away,regular,1,1,4,0,0,0,1,0,3
THOMAS RICH,40,SEA,9/24/2023,1700,SF,home,regular,1,1,3,1,0,0,0,0,2
EVAN MCGUIRE,30,NYH,4/25/2023,2000,STL,home,regular,1,1,3,1,0,0,0,1,1
JACKSON HAYES,40,CAL,4/19/2023,1400,TOR,home,regular,1,1,3,1,0,0,0,0,2
JACOB STEELE,78,DET,6/2/2023,1600,HOU,home,regular,1,1,3,1,0,0,0,0,2
RODRIGO WARD,70,NYM,7/12/2023,1600,NYH,home,regular,1,1,1,1,0,0,0,0,0
JAKE BUCHANAN,65,MTL,10/16/2023,2000,PHI,home,postseason,0,0,1,0,0,0,0,0,1
JACOB CARSON,69,SEA,8/10/2023,1700,BKN,home,regular,3,2,3,1,0,0,2,0,0
JOHNNY CHANEY,25,BOU,10/9/2023,2000,PHB,away,postseason,1,1,4,1,0,0,0,0,3
BILL GRAVES,11,OAK,6/29/2023,1300,MTL,away,regular,0,0,2,0,0,0,0,0,2
THOMAS WALTERS,12,SF,4/27/2023,1500,ANA,home,regular,1,1,3,1,0,0,0,0,2
RODRIGO MIDDLETON,18,STL,10/16/2023,1600,SLC,away,postseason,1,1,5,1,0,0,0,1,3
THOMAS HOLDER,76,CHO,5/3/2023,1400,BOD,home,regular,1,1,2,1,0,0,0,0,1
LARRY OWENS,69,MTL,4/29/2023,1700,MIA,away,regular,3,1,6,1,2,0,0,0,3
BILLY WELCH,40,PHA,10/8/2023,2000,CHC,away,postseason,0,0,1,0,0,0,0,0,1
RODRIGO BUCHANAN,47,WSH,9/1/2023,1700,WSH,home,regular,1,1,4,1,0,0,0,1,2
